G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),sample,region-set,Bayesian Information Criterion,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set
-22.16497136191185,149.99999999999062,12.916328375741212,757.9999999589096,-90.52995498754456,6078.862851855569,,0.05809359685459299,0.0010848398920550693,-103.0310958168372,HV05.sortByCoord,mammary_hepato_cluster959_hg38,-726.5511224020969,yes,-1.16,"(-213.50816338196972, 140.60735125881695)",N/A,0.45,"(-0.033402027437089185, 0.1264150994268023)",N/A
-16.679163422205857,149.0000000000299,-18.093360674411446,757.999999938676,60.542144298337014,6078.972055463263,,0.05020740298641209,-0.0012828894286236905,22.912450650101647,HV05.sortByCoord,mammary_cluster2290_hg38,-849.7241177203508,yes,0.28,"(-45.70208459455415, 80.17115354374201)",N/A,1.41,"(0.016165086370466437, 0.06285893150311722)",N/A
-18.634589986144448,149.00000000001228,7.339026766971114,757.9999999564542,23.462845935812933,6078.024176451018,,0.044490840695946464,-0.00022736832858776166,9.278282373788382,HV05.sortByCoord,mammary_epithel_cluster2438_hg38,-795.9307668995184,yes,0.3,"(-172.21678150366068, 158.56946515003577)",N/A,0.38,"(0.0045725096327799, 0.07562286046136754)",N/A
-0.9783693265745764,149.00000000000568,-18.579604110723228,757.9999999994557,94.09357837742495,6078.994977355565,,0.006223145649455388,-0.002585682534185236,74.10713850994631,OMD006-d5.sortByCoord,mammary_cluster2139_hg38,-736.3530293708507,no,2.34,"(-282.6584995059414, 122.80710706872624)",n.s.,-0.3,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-2.493469803150504,149.00000000000006,-7.875261351422467,757.9999999989632,84.12088133820599,6078.996235938746,,0.005300454192684059,-0.002158580807644912,73.19514374222231,OMD006-d5.sortByCoord,mammary_cluster2239_hg38,-905.5022428327472,no,0.88,"(-25.031036956485266, 118.95856122353376)",n.s.,-2.26,"(0.003589316357633595, 0.05539997409431477)",n.s.
0.7360482193138381,150.0,1.583903774511868,757.9999999999957,-28.507784577447755,6078.000000874763,,-0.0009200597689077153,-0.0005808039242229527,-26.02676590536808,OMD006-d5.sortByCoord,mammary_hepato_cluster959_hg38,-763.9595239717264,no,0.18,"(-213.50816338196972, 140.60735125881695)",n.s.,-1.83,"(-0.033402027437089185, 0.1264150994268023)",n.s.
-0.06820079864783889,149.9999999999963,-18.28639862469511,757.0000000000001,87.15500150931082,6078.993222681185,,0.004098732709205621,-0.00254746565681432,68.52484371943997,OMD006-d5.sortByCoord,mammary_cluster2290_hg38,-878.5884321806464,no,2.51,"(-45.70208459455415, 80.17115354374201)",n.s.,-4.67,"(0.016165086370466437, 0.06285893150311722)",Significantly weaker coverage drop
3.371094686565264,149.00000000000003,-7.013111675202921,757.0000000000023,86.54817739686159,6078.03699255076,,-0.011010784837368974,-0.0019875467269029395,83.27674105492031,OMD006-d5.sortByCoord,mammary_epithel_cluster2438_hg38,-815.5597144504904,no,1.68,"(-172.21678150366068, 158.56946515003577)",n.s.,-4.43,"(0.0045725096327799, 0.07562286046136754)",Significantly weaker coverage drop
4.945854235033768,149.9999150805595,-25.543026715255515,757.9999998486079,-7.676861339937387,6078.0380359192,,0.0007933340417615153,0.0003758991739555083,-27.726565976945555,OMD009-d5.sortByCoord,mammary_cluster2139_hg38,-749.06416011583,no,0.79,"(-282.6584995059414, 122.80710706872624)",n.s.,-0.64,"(-0.03841500182443668, 0.06053841008316255)",n.s.
2.669756823723876,149.99999904691862,-0.2674210015521423,757.9999999999823,73.09772293814235,6078.988307513542,,-0.01175692271227651,-0.0021525579845740194,75.83541912292351,OMD009-d5.sortByCoord,mammary_cluster2239_hg38,-868.4831814313598,no,0.97,"(-25.031036956485266, 118.95856122353376)",n.s.,-3.86,"(0.003589316357633595, 0.05539997409431477)",Significantly weaker coverage drop
